Mode,Backend,M,N,k,MPI_Ranks,GridRows,GridCols,OMP_Threads,CUDA_Arch,Run,ParallelTime,SequentialTime,RelativeError,GFLOPS,SpeedUp
Naive_SMP,OMP,2000,4000,3,1,0,0,40,,1,0.027110,0.027088,0.00e+00,1.7706,0.9992
Naive_SMP,OMP,2000,4000,3,1,0,0,40,,2,0.027040,0.000000,0.00e+00,1.7752,0.0000
Naive_SMP,OMP,2000,4000,3,1,0,0,40,,3,0.026981,0.000000,0.00e+00,1.7790,0.0000
Naive_Hybrid,OMP,2000,4000,3,2,0,0,20,,1,0.008732,0.027594,0.00e+00,5.4972,3.1603
Naive_Hybrid,OMP,2000,4000,3,2,0,0,20,,2,0.005542,0.000000,0.00e+00,8.6618,0.0000
Naive_Hybrid,OMP,2000,4000,3,2,0,0,20,,3,0.012862,0.000000,0.00e+00,3.7321,0.0000
Opt_SMP,OMP,2000,4000,3,1,0,0,40,,1,0.018111,0.026877,0.00e+00,2.6503,1.4840
Opt_SMP,OMP,2000,4000,3,1,0,0,40,,2,0.018030,0.000000,0.00e+00,2.6622,0.0000
Opt_SMP,OMP,2000,4000,3,1,0,0,40,,3,0.017978,0.000000,0.00e+00,2.6700,0.0000
Opt_Hybrid,OMP,2000,4000,3,2,0,0,20,,1,0.002485,0.026933,0.00e+00,19.3183,10.8395
Opt_Hybrid,OMP,2000,4000,3,2,0,0,20,,2,0.016065,0.000000,0.00e+00,2.9879,0.0000
Opt_Hybrid,OMP,2000,4000,3,2,0,0,20,,3,0.003245,0.000000,0.00e+00,14.7922,0.0000
Opt_Hybrid,OMP,2000,4000,3,4,0,0,10,,1,0.001220,0.027749,6.80e-06,39.3393,22.7421
Opt_Hybrid,OMP,2000,4000,3,4,0,0,10,,2,0.001179,0.000000,0.00e+00,40.7262,0.0000
Opt_Hybrid,OMP,2000,4000,3,4,0,0,10,,3,0.001207,0.000000,0.00e+00,39.7600,0.0000
Opt_Hybrid,OMP,2000,4000,3,8,0,0,5,,1,0.002684,0.028422,6.80e-06,17.8862,10.5910
Opt_Hybrid,OMP,2000,4000,3,8,0,0,5,,2,0.003119,0.000000,0.00e+00,15.3914,0.0000
Opt_Hybrid,OMP,2000,4000,3,8,0,0,5,,3,0.002343,0.000000,0.00e+00,20.4839,0.0000
Opt_Grid1x8,OMP,2000,4000,3,8,1,8,1,,1,0.009938,0.028308,5.98e-06,4.8299,2.8484
Opt_Grid1x8,OMP,2000,4000,3,8,1,8,1,,2,0.009857,0.000000,0.00e+00,4.8696,0.0000
Opt_Grid1x8,OMP,2000,4000,3,8,1,8,1,,3,0.010021,0.000000,0.00e+00,4.7898,0.0000
Opt_Grid8x1,OMP,2000,4000,3,8,8,1,1,,1,0.008986,0.028350,0.00e+00,5.3415,3.1549
Opt_Grid8x1,OMP,2000,4000,3,8,8,1,1,,2,0.008958,0.000000,0.00e+00,5.3583,0.0000
Opt_Grid8x1,OMP,2000,4000,3,8,8,1,1,,3,0.009730,0.000000,0.00e+00,4.9331,0.0000
Opt_Grid2x4,OMP,2000,4000,3,8,2,4,1,,1,0.009705,0.027668,5.99e-06,4.9460,2.8510
Opt_Grid2x4,OMP,2000,4000,3,8,2,4,1,,2,0.009870,0.000000,0.00e+00,4.8634,0.0000
Opt_Grid2x4,OMP,2000,4000,3,8,2,4,1,,3,0.011299,0.000000,0.00e+00,4.2483,0.0000
Serial,OMP,2000,4000,6,1,0,0,1,,1,0.019888,0.035896,0.00e+00,4.8270,1.8049
Serial,OMP,2000,4000,6,1,0,0,1,,2,0.019866,0.000000,0.00e+00,4.8324,0.0000
Serial,OMP,2000,4000,6,1,0,0,1,,3,0.019776,0.000000,0.00e+00,4.8544,0.0000
Naive_SMP,OMP,2000,4000,6,1,0,0,40,,1,0.035980,0.035930,0.00e+00,2.6682,0.9986
Naive_SMP,OMP,2000,4000,6,1,0,0,40,,2,0.035653,0.000000,0.00e+00,2.6926,0.0000
Naive_SMP,OMP,2000,4000,6,1,0,0,40,,3,0.035520,0.000000,0.00e+00,2.7027,0.0000
Naive_Hybrid,OMP,2000,4000,6,2,0,0,20,,1,0.011368,0.036172,0.00e+00,8.4449,3.1820
Naive_Hybrid,OMP,2000,4000,6,2,0,0,20,,2,0.010641,0.000000,0.00e+00,9.0213,0.0000
Naive_Hybrid,OMP,2000,4000,6,2,0,0,20,,3,0.018143,0.000000,0.00e+00,5.2913,0.0000
Opt_SMP,OMP,2000,4000,6,1,0,0,40,,1,0.020264,0.036642,0.00e+00,4.7374,1.8082
Opt_SMP,OMP,2000,4000,6,1,0,0,40,,2,0.020180,0.000000,0.00e+00,4.7571,0.0000
Opt_SMP,OMP,2000,4000,6,1,0,0,40,,3,0.020150,0.000000,0.00e+00,4.7644,0.0000
Opt_Hybrid,OMP,2000,4000,6,2,0,0,20,,1,0.006086,0.037086,0.00e+00,15.7751,6.0942
Opt_Hybrid,OMP,2000,4000,6,2,0,0,20,,2,0.003439,0.000000,0.00e+00,27.9143,0.0000
Opt_Hybrid,OMP,2000,4000,6,2,0,0,20,,3,0.008102,0.000000,0.00e+00,11.8494,0.0000
Opt_Hybrid,OMP,2000,4000,6,4,0,0,10,,1,0.001157,0.036207,3.43e-06,82.9796,31.2966
Opt_Hybrid,OMP,2000,4000,6,4,0,0,10,,2,0.001157,0.000000,0.00e+00,82.9566,0.0000
Opt_Hybrid,OMP,2000,4000,6,4,0,0,10,,3,0.001170,0.000000,0.00e+00,82.0582,0.0000
Opt_Hybrid,OMP,2000,4000,6,8,0,0,5,,1,0.004158,0.037612,3.43e-06,23.0852,9.0446
Opt_Hybrid,OMP,2000,4000,6,8,0,0,5,,2,0.002788,0.000000,0.00e+00,34.4286,0.0000
Opt_Hybrid,OMP,2000,4000,6,8,0,0,5,,3,0.002684,0.000000,0.00e+00,35.7706,0.0000
Opt_Grid1x8,OMP,2000,4000,6,8,1,8,1,,1,0.011916,0.037818,2.44e-06,8.0565,3.1738
Opt_Grid1x8,OMP,2000,4000,6,8,1,8,1,,2,0.010205,0.000000,0.00e+00,9.4075,0.0000
Opt_Grid1x8,OMP,2000,4000,6,8,1,8,1,,3,0.010227,0.000000,0.00e+00,9.3872,0.0000
Opt_Grid8x1,OMP,2000,4000,6,8,8,1,1,,1,0.009980,0.037926,0.00e+00,9.6195,3.8004
Opt_Grid8x1,OMP,2000,4000,6,8,8,1,1,,2,0.010057,0.000000,0.00e+00,9.5456,0.0000
Opt_Grid8x1,OMP,2000,4000,6,8,8,1,1,,3,0.009994,0.000000,0.00e+00,9.6062,0.0000
Opt_Grid2x4,OMP,2000,4000,6,8,2,4,1,,1,0.009876,0.037343,2.14e-06,9.7202,3.7810
Opt_Grid2x4,OMP,2000,4000,6,8,2,4,1,,2,0.009815,0.000000,0.00e+00,9.7811,0.0000
Opt_Grid2x4,OMP,2000,4000,6,8,2,4,1,,3,0.010654,0.000000,0.00e+00,9.0109,0.0000
Serial,OMP,2000,4000,8,1,0,0,1,,1,0.018181,0.027396,0.00e+00,7.0405,1.5069
Serial,OMP,2000,4000,8,1,0,0,1,,2,0.017955,0.000000,0.00e+00,7.1291,0.0000
Serial,OMP,2000,4000,8,1,0,0,1,,3,0.018139,0.000000,0.00e+00,7.0565,0.0000
Naive_SMP,OMP,2000,4000,8,1,0,0,40,,1,0.023537,0.027860,0.00e+00,5.4382,1.1837
Naive_SMP,OMP,2000,4000,8,1,0,0,40,,2,0.023504,0.000000,0.00e+00,5.4460,0.0000
Naive_SMP,OMP,2000,4000,8,1,0,0,40,,3,0.023507,0.000000,0.00e+00,5.4451,0.0000
Naive_Hybrid,OMP,2000,4000,8,2,0,0,20,,1,0.004514,0.028447,0.00e+00,28.3574,6.3023
Naive_Hybrid,OMP,2000,4000,8,2,0,0,20,,2,0.015032,0.000000,0.00e+00,8.5153,0.0000
