Mode,Backend,M,N,k,MPI_Ranks,GridRows,GridCols,OMP_Threads,CUDA_Arch,Run,ParallelTime,SequentialTime,RelativeError,GFLOPS,SpeedUp
CUDA_Naive,CUDA,2000,4000,6,1,1,1,,75,1,0.000672,0.035367,0.00e+00,142.8698,52.6342
CUDA_Naive,CUDA,2000,4000,6,1,1,1,,75,2,0.000676,0.000000,0.00e+00,142.0513,0.0000
CUDA_Naive,CUDA,2000,4000,6,1,1,1,,75,3,0.000676,0.000000,0.00e+00,141.9181,0.0000
CUDA_Opt2D,CUDA,2000,4000,6,1,1,1,,75,1,0.000671,0.036896,0.00e+00,143.1578,55.0206
CUDA_Opt2D,CUDA,2000,4000,6,1,1,1,,75,2,0.000670,0.000000,0.00e+00,143.3891,0.0000
CUDA_Opt2D,CUDA,2000,4000,6,1,1,1,,75,3,0.000671,0.000000,0.00e+00,143.0275,0.0000
CUDA_Tiled,CUDA,2000,4000,6,1,1,1,,75,1,0.000605,0.036431,0.00e+00,158.7807,60.2556
CUDA_Tiled,CUDA,2000,4000,6,1,1,1,,75,2,0.000598,0.000000,0.00e+00,160.4390,0.0000
CUDA_Tiled,CUDA,2000,4000,6,1,1,1,,75,3,0.000598,0.000000,0.00e+00,160.4400,0.0000
CUDA_WarpRow,CUDA,2000,4000,6,1,1,1,,75,1,0.000655,0.040399,0.00e+00,146.5847,61.6856
CUDA_WarpRow,CUDA,2000,4000,6,1,1,1,,75,2,0.000659,0.000000,0.00e+00,145.6445,0.0000
CUDA_WarpRow,CUDA,2000,4000,6,1,1,1,,75,3,0.000659,0.000000,0.00e+00,145.6035,0.0000
CUDA_Transposed,CUDA,2000,4000,6,1,1,1,,75,1,0.000204,0.035425,0.00e+00,470.7925,173.7253
CUDA_Transposed,CUDA,2000,4000,6,1,1,1,,75,2,0.000204,0.000000,0.00e+00,470.8994,0.0000
CUDA_Transposed,CUDA,2000,4000,6,1,1,1,,75,3,0.000204,0.000000,0.00e+00,471.3667,0.0000
CUDA_Naive,CUDA,2000,4000,8,1,1,1,,75,1,0.000672,0.026554,0.00e+00,190.5023,39.5207
CUDA_Naive,CUDA,2000,4000,8,1,1,1,,75,2,0.000670,0.000000,0.00e+00,191.1600,0.0000
CUDA_Naive,CUDA,2000,4000,8,1,1,1,,75,3,0.000666,0.000000,0.00e+00,192.0625,0.0000
CUDA_Opt2D,CUDA,2000,4000,8,1,1,1,,75,1,0.000667,0.027434,0.00e+00,191.9141,41.1331
CUDA_Opt2D,CUDA,2000,4000,8,1,1,1,,75,2,0.000667,0.000000,0.00e+00,192.0362,0.0000
CUDA_Opt2D,CUDA,2000,4000,8,1,1,1,,75,3,0.000670,0.000000,0.00e+00,191.1219,0.0000
CUDA_Tiled,CUDA,2000,4000,8,1,1,1,,75,1,0.000603,0.027057,0.00e+00,212.2461,44.8655
CUDA_Tiled,CUDA,2000,4000,8,1,1,1,,75,2,0.000599,0.000000,0.00e+00,213.6118,0.0000
CUDA_Tiled,CUDA,2000,4000,8,1,1,1,,75,3,0.000599,0.000000,0.00e+00,213.5549,0.0000
CUDA_WarpRow,CUDA,2000,4000,8,1,1,1,,75,1,0.000655,0.030474,0.00e+00,195.5490,46.5559
CUDA_WarpRow,CUDA,2000,4000,8,1,1,1,,75,2,0.000653,0.000000,0.00e+00,195.9837,0.0000
CUDA_WarpRow,CUDA,2000,4000,8,1,1,1,,75,3,0.000656,0.000000,0.00e+00,195.2272,0.0000
CUDA_Transposed,CUDA,2000,4000,8,1,1,1,,75,1,0.000212,0.027938,0.00e+00,604.6383,131.9724
CUDA_Transposed,CUDA,2000,4000,8,1,1,1,,75,2,0.000210,0.000000,0.00e+00,608.5669,0.0000
CUDA_Transposed,CUDA,2000,4000,8,1,1,1,,75,3,0.000210,0.000000,0.00e+00,609.6228,0.0000
CUDA_Naive,CUDA,2000,4000,20,1,1,1,,75,1,0.000674,0.039060,1.61e-08,474.6419,57.9367
CUDA_Naive,CUDA,2000,4000,20,1,1,1,,75,2,0.000679,0.000000,0.00e+00,471.1759,0.0000
CUDA_Naive,CUDA,2000,4000,20,1,1,1,,75,3,0.000675,0.000000,0.00e+00,474.2319,0.0000
CUDA_Opt2D,CUDA,2000,4000,20,1,1,1,,75,1,0.000675,0.040542,1.61e-08,474.0673,60.0612
CUDA_Opt2D,CUDA,2000,4000,20,1,1,1,,75,2,0.000676,0.000000,0.00e+00,473.1874,0.0000
CUDA_Opt2D,CUDA,2000,4000,20,1,1,1,,75,3,0.000678,0.000000,0.00e+00,471.8764,0.0000
CUDA_Tiled,CUDA,2000,4000,20,1,1,1,,75,1,0.000605,0.039046,1.61e-08,529.3427,64.5896
CUDA_Tiled,CUDA,2000,4000,20,1,1,1,,75,2,0.000601,0.000000,0.00e+00,532.7723,0.0000
