Mode,Backend,M,N,k,MPI_Ranks,Run,ParallelTime,DistribTime,TransferTime
CUDA_Tiled,CUDA,4000,2000,3,1,3,0.000458,0.000018,0.176481
CUDA_Naive,CUDA,4000,2000,6,1,1,0.000611,0.000032,0.177770
CUDA_Naive,CUDA,4000,2000,6,1,2,0.000613,0.000028,0.176606
CUDA_Naive,CUDA,4000,2000,6,1,3,0.000610,0.000029,0.184854
CUDA_Tiled,CUDA,4000,2000,6,1,1,0.000458,0.000028,0.180324
CUDA_Tiled,CUDA,4000,2000,6,1,2,0.000462,0.000028,0.175552
CUDA_Tiled,CUDA,4000,2000,6,1,3,0.000462,0.000028,0.175539
CUDA_Naive,CUDA,4000,2000,8,1,1,0.000608,0.000036,0.180341
CUDA_Naive,CUDA,4000,2000,8,1,2,0.000604,0.000035,0.177877
CUDA_Naive,CUDA,4000,2000,8,1,3,0.000603,0.000038,0.176988
CUDA_Tiled,CUDA,4000,2000,8,1,1,0.000458,0.000037,0.175751
CUDA_Tiled,CUDA,4000,2000,8,1,2,0.000462,0.000035,0.174814
CUDA_Tiled,CUDA,4000,2000,8,1,3,0.000462,0.000035,0.176116
CUDA_Naive,CUDA,4000,2000,20,1,1,0.000618,0.000145,0.174261
CUDA_Naive,CUDA,4000,2000,20,1,2,0.000614,0.000146,0.175724
CUDA_Naive,CUDA,4000,2000,20,1,3,0.000614,0.000145,0.175267
CUDA_Tiled,CUDA,4000,2000,20,1,1,0.000459,0.000145,0.179539
CUDA_Tiled,CUDA,4000,2000,20,1,2,0.000463,0.000145,0.173642
CUDA_Tiled,CUDA,4000,2000,20,1,3,0.000459,0.000145,0.181682
CUDA_Naive,CUDA,4000,2000,32,1,1,0.000607,0.000230,0.175041
CUDA_Naive,CUDA,4000,2000,32,1,2,0.000612,0.000228,0.180609
CUDA_Naive,CUDA,4000,2000,32,1,3,0.000612,0.000117,0.180719
CUDA_Tiled,CUDA,4000,2000,32,1,1,0.000465,0.000256,0.178016
CUDA_Tiled,CUDA,4000,2000,32,1,2,0.000459,0.000229,0.177397
CUDA_Tiled,CUDA,4000,2000,32,1,3,0.000463,0.000253,0.176936
CUDA_Naive,CUDA,4000,2000,64,1,1,0.001103,0.000469,0.175982
CUDA_Naive,CUDA,4000,2000,64,1,2,0.001095,0.000483,0.180702
CUDA_Naive,CUDA,4000,2000,64,1,3,0.001103,0.000451,0.172319
CUDA_Tiled,CUDA,4000,2000,64,1,1,0.000902,0.000450,0.178030
CUDA_Tiled,CUDA,4000,2000,64,1,2,0.000892,0.000449,0.173997
CUDA_Tiled,CUDA,4000,2000,64,1,3,0.000899,0.000456,0.177141
CUDA_Naive,CUDA,4000,2000,128,1,1,0.002130,0.000909,0.177558
CUDA_Naive,CUDA,4000,2000,128,1,2,0.002114,0.000909,0.178213
CUDA_Naive,CUDA,4000,2000,128,1,3,0.002113,0.000902,0.179869
CUDA_Tiled,CUDA,4000,2000,128,1,1,0.001641,0.000940,0.177763
CUDA_Tiled,CUDA,4000,2000,128,1,2,0.001654,0.000949,0.179808
CUDA_Tiled,CUDA,4000,2000,128,1,3,0.001641,0.000901,0.183703
CUDA_Naive,CUDA,6000,2000,3,1,1,0.000872,0.000019,0.177724
CUDA_Naive,CUDA,6000,2000,3,1,2,0.000878,0.000020,0.188604
CUDA_Naive,CUDA,6000,2000,3,1,3,0.000876,0.000017,0.177230
CUDA_Tiled,CUDA,6000,2000,3,1,1,0.000618,0.000017,0.179494
CUDA_Tiled,CUDA,6000,2000,3,1,2,0.000611,0.000019,0.181531
CUDA_Tiled,CUDA,6000,2000,3,1,3,0.000610,0.000018,0.179498
CUDA_Naive,CUDA,6000,2000,6,1,1,0.000891,0.000029,0.178547
CUDA_Naive,CUDA,6000,2000,6,1,2,0.000882,0.000029,0.179514
CUDA_Naive,CUDA,6000,2000,6,1,3,0.000882,0.000028,0.176808
CUDA_Tiled,CUDA,6000,2000,6,1,1,0.000617,0.000028,0.179214
CUDA_Tiled,CUDA,6000,2000,6,1,2,0.000612,0.000028,0.178871
CUDA_Tiled,CUDA,6000,2000,6,1,3,0.000612,0.000028,0.179192
CUDA_Naive,CUDA,6000,2000,8,1,1,0.000875,0.000035,0.185280
CUDA_Naive,CUDA,6000,2000,8,1,2,0.000875,0.000035,0.182137
CUDA_Naive,CUDA,6000,2000,8,1,3,0.000875,0.000035,0.181918
CUDA_Tiled,CUDA,6000,2000,8,1,1,0.000613,0.000036,0.180198
CUDA_Tiled,CUDA,6000,2000,8,1,2,0.000618,0.000035,0.178904
CUDA_Tiled,CUDA,6000,2000,8,1,3,0.000612,0.000036,0.182674
CUDA_Naive,CUDA,6000,2000,20,1,1,0.000889,0.000144,0.180100
CUDA_Naive,CUDA,6000,2000,20,1,2,0.000896,0.000146,0.182327
CUDA_Naive,CUDA,6000,2000,20,1,3,0.000889,0.000144,0.180147
CUDA_Tiled,CUDA,6000,2000,20,1,1,0.000613,0.000145,0.179526
CUDA_Tiled,CUDA,6000,2000,20,1,2,0.000619,0.000143,0.182304
CUDA_Tiled,CUDA,6000,2000,20,1,3,0.000614,0.000144,0.183944
CUDA_Naive,CUDA,6000,2000,32,1,1,0.000881,0.000240,0.180490
CUDA_Naive,CUDA,6000,2000,32,1,2,0.000887,0.000230,0.176444
CUDA_Naive,CUDA,6000,2000,32,1,3,0.000880,0.000228,0.180426
