Mode,M,N,k,MPI_Ranks,OMP_Threads,Run,ParallelTime,SequentialTime,RelativeError,GFLOPS,SpeedUp
Naive_Hybrid,2000,2000,32,2,20,3,0.003349,0.000000,0.00e+00,76.4338,0.0000
Naive_Hybrid,2000,2000,32,2,20,4,0.003346,0.000000,0.00e+00,76.4995,0.0000
Naive_Hybrid,2000,2000,32,2,20,5,0.003351,0.000000,0.00e+00,76.4020,0.0000
Opt_SMP,2000,2000,32,1,40,1,0.028075,0.060296,0.00e+00,9.1183,2.1477
Opt_SMP,2000,2000,32,1,40,2,0.027786,0.000000,0.00e+00,9.2132,0.0000
Opt_SMP,2000,2000,32,1,40,3,0.028249,0.000000,0.00e+00,9.0623,0.0000
Opt_SMP,2000,2000,32,1,40,4,0.027785,0.000000,0.00e+00,9.2136,0.0000
Opt_SMP,2000,2000,32,1,40,5,0.027861,0.000000,0.00e+00,9.1884,0.0000
Opt_Hybrid,2000,2000,32,2,20,1,0.001921,0.061218,0.00e+00,133.2710,31.8696
Opt_Hybrid,2000,2000,32,2,20,2,0.001922,0.000000,0.00e+00,133.1629,0.0000
Opt_Hybrid,2000,2000,32,2,20,3,0.001914,0.000000,0.00e+00,133.7578,0.0000
Opt_Hybrid,2000,2000,32,2,20,4,0.001897,0.000000,0.00e+00,134.9753,0.0000
Opt_Hybrid,2000,2000,32,2,20,5,0.001917,0.000000,0.00e+00,133.5391,0.0000
Opt_Hybrid,2000,2000,32,4,10,1,0.001892,0.066581,2.49e-15,135.2849,35.1854
Opt_Hybrid,2000,2000,32,4,10,2,0.001894,0.000000,0.00e+00,135.1951,0.0000
Opt_Hybrid,2000,2000,32,4,10,3,0.001884,0.000000,0.00e+00,135.8948,0.0000
Opt_Hybrid,2000,2000,32,4,10,4,0.001889,0.000000,0.00e+00,135.4959,0.0000
Opt_Hybrid,2000,2000,32,4,10,5,0.001875,0.000000,0.00e+00,136.5217,0.0000
Opt_Hybrid,2000,2000,32,8,5,1,0.006496,0.062597,2.49e-15,39.4112,9.6368
Opt_Hybrid,2000,2000,32,8,5,2,0.006346,0.000000,0.00e+00,40.3432,0.0000
Opt_Hybrid,2000,2000,32,8,5,3,0.008990,0.000000,0.00e+00,28.4767,0.0000
Opt_Hybrid,2000,2000,32,8,5,4,0.007236,0.000000,0.00e+00,35.3774,0.0000
